"instrument","strsiz","avgdep","nexref","ninref","pol","year","nmajprov","ndelms","ndelsupra","type","kofecgidjsdv","naseanms","polityivsdv","avzcomplex","media","rdelms"
15.1,35,2,3,9,"1",1996,31,5,1,"2",13.336548,"7",7.7403302,0.65787554,"1",0.161290322580645
15.2,11,1.75,11,0,"0",1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0",0
15.3,99,2.1900001,9,25,"1",2004,91,9,7,"2",13.484301,"10",6.7692113,1.068276,"1",0.0989010989010989
16,103,2.52,10,13,"1",2019,79,2,0,"1",13.7824,"10",7.1002188,1.053919,"2",0.0253164556962025
17,88,1.98,7,8,"1",2017,80,8,0,"1",14.007591,"10",6.6538019,0.82927489,"0",0.1
18,71,2.02,2,6,"0",2016,60,6,1,"1",14.171517,"10",6.4104948,0.69905591,"0",0.1
19,85,2.4100001,5,2,"0",2015,71,1,0,"1",13.615495,"10",6.573245,0.83330905,"0",0.0140845070422535
20,31,2.1900001,6,2,"0",2014,25,1,0,"3",13.110886,"10",6.7338285,0.67235762,"2",0.04
21,145,2.8199999,7,11,"1",2014,114,18,2,"1",13.110886,"10",6.7338285,1.1252418,"1",0.157894736842105
22,64,2.0999999,8,8,"1",2014,49,4,1,"3",13.110886,"10",6.7338285,0.82195473,"0",0.0816326530612245
22.1,47,2.25,3,1,"1",1994,33,3,0,"3",12.838324,"6",7.8336878,0.66303939,"0",0.0909090909090909
22.200001,52,2.26,6,2,"1",1999,36,3,0,"3",13.873234,"10",6.8451281,0.74057281,"0",0.0833333333333333
22.299999,66,2.0999999,8,8,"1",2009,49,4,0,"3",14.571048,"10",6.557054,0.8261745,"0",0.0816326530612245
23,94,2.4000001,6,22,"1",2012,79,5,1,"1",13.886189,"10",6.7089863,1.0388069,"1",0.0632911392405063
24,188,1.9299999,25,2,"1",2012,173,15,0,"1",13.886189,"10",6.7089863,1.1747169,"0",0.0867052023121387
24.1,55,2,15,3,"1",1997,42,3,0,"1",13.934731,"9",7.5984035,0.83687371,"2",0.0714285714285714
25,11,1,3,2,"0",2010,7,0,0,"3",14.006478,"10",6.6841435,0.11732238,"0",0
26,114,2.3099999,14,31,"1",2010,94,7,0,"1",14.006478,"10",6.6841435,1.2108008,"1",0.074468085106383
26.1,11,1.67,3,1,"1",2010,6,0,0,"2",14.006478,"10",6.6841435,0.37751934,"0",0
26.200001,12,1.5700001,3,2,"1",2010,7,0,0,"2",14.006478,"10",6.6841435,0.35964921,"0",0
26.299999,19,2.0699999,6,4,"1",2017,11,1,0,"2",14.007591,"10",6.6538019,0.63256955,"0",0.0909090909090909
26.4,17,2.1500001,6,1,"1",2018,9,0,0,"2",13.846571,"10",6.9520178,0.61388892,"0",0
27,35,1.79,1,1,"1",2009,28,13,0,"3",14.571048,"10",6.557054,0.45002759,"0",0.464285714285714
28,86,1.86,18,1,"1",2009,78,4,0,"1",14.571048,"10",6.557054,0.89320779,"2",0.0512820512820513
29,118,2.3199999,12,24,"1",2009,97,6,0,"1",14.571048,"10",6.557054,1.148304,"2",0.0618556701030928
29.1,18,1.36,2,0,"1",2002,10,3,0,"3",14.725194,"10",6.7692113,0.23887552,"1",0.3
29.200001,12,1.67,7,0,"1",2007,6,0,0,"2",15.11982,"10",6.8723478,0.45752722,"0",0
29.299999,21,1.88,3,2,"1",2009,17,2,0,"2",14.571048,"10",6.557054,0.49542591,"0",0.117647058823529
29.4,19,1.87,3,1,"1",2009,15,1,0,"2",14.571048,"10",6.557054,0.47227928,"0",0.0666666666666667
30,115,2.3099999,14,31,"1",2009,94,6,0,"1",14.571048,"10",6.557054,1.2122329,"2",0.0638297872340425
30.1,16,1.73,4,2,"1",2009,7,0,0,"2",14.571048,"10",6.557054,0.45240828,"0",0
30.200001,14,1.78,4,3,"1",2009,8,0,0,"2",14.571048,"10",6.557054,0.47729337,"0",0
30.299999,13,1.5,4,2,"1",2009,11,0,0,"2",14.571048,"10",6.557054,0.36129352,"0",0
30.4,14,1.67,4,2,"1",2009,13,0,0,"2",14.571048,"10",6.557054,0.42560926,"0",0
30.5,12,1.5700001,4,1,"1",2009,12,0,0,"2",14.571048,"10",6.557054,0.36813989,"0",0
30.6,13,1.5,4,1,"1",2009,13,0,0,"2",14.571048,"10",6.557054,0.34541637,"0",0
31,61,2.4200001,6,3,"0",2009,42,4,0,"1",14.571048,"10",6.557054,0.81014591,"2",0.0952380952380952
31.1,33,2.0999999,1,0,"0",1986,18,1,0,"1",14.598877,"6",5.2025633,0.53133923,"0",0.0555555555555556
31.200001,11,1.75,11,0,"0",1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0",0
32,422,2.28,81,83,"1",2009,375,13,1,"1",14.571048,"10",6.557054,2.1199174,"2",0.0346666666666667
32.099998,37,1.96,5,4,"1",2012,27,2,0,"3",13.886189,"10",6.7089863,0.62893951,"0",0.0740740740740741
32.200001,37,1.9299999,6,4,"1",2012,27,4,0,"3",13.886189,"10",6.7089863,0.63893861,"0",0.148148148148148
32.299999,17,1.27,17,0,"1",2013,15,0,0,"2",13.504162,"10",6.7338285,0.55356729,"0",0
32.400002,13,1.8,5,1,"1",2019,3,0,0,"2",13.7824,"10",7.1002188,0.47446698,"0",0
33,312,2.4100001,38,87,"1",2009,274,28,0,"1",14.571048,"10",6.557054,1.8661805,"2",0.102189781021898
33.099998,51,2.1099999,2,6,"1",1987,40,3,0,"1",14.759668,"6",5.2359858,0.67476875,"0",0.075
33.200001,17,1.4400001,7,0,"1",1996,7,0,0,"2",13.336548,"7",7.7403302,0.39321229,"1",0
33.299999,93,2.1900001,9,13,"1",1998,70,3,0,"1",14.083516,"9",7.2340031,0.95943338,"2",0.0428571428571429
33.400002,23,2.3900001,11,0,"1",2001,8,0,0,"2",14.902901,"10",6.7692113,0.76815313,"1",0
33.5,17,1.85,28,1,"1",2014,10,1,0,"2",13.110886,"10",6.7338285,0.89771122,"0",0.1
33.599998,16,2.2,8,1,"1",2017,8,0,0,"2",14.007591,"10",6.6538019,0.66220689,"0",0
33.700001,8,1.75,4,1,"1",2017,4,0,0,"2",14.007591,"10",6.6538019,0.41980004,"0",0
33.799999,49,2.7,5,35,"1",2020,34,7,0,"2",13.83362,"10",7.1956778,1.1079721,"0",0.205882352941176
34,34,2,4,3,"1",2008,26,5,0,"3",15.091938,"10",6.4813938,0.60161293,"0",0.192307692307692
35,40,1.9299999,7,2,"0",2007,29,3,0,"3",15.11982,"10",6.8723478,0.64106929,"0",0.103448275862069
36,29,2.0899999,9,1,"1",2007,21,1,0,"2",15.11982,"10",6.8723478,0.68200749,"0",0.0476190476190476
36.099998,19,2.4000001,12,3,"1",2010,14,1,0,"2",14.006478,"10",6.6841435,0.80848753,"0",0.0714285714285714
37,21,1.53,1,0,"0",2006,17,0,1,"1",14.953968,"10",7.1497107,0.29263544,"0",0
37.099998,11,1.88,7,0,"0",2007,8,0,0,"2",15.11982,"10",6.8723478,0.52305877,"0",0
38,40,2.04,5,0,"1",2005,28,0,0,"1",14.689552,"10",6.9283795,0.61097401,"1",0
38.099998,52,2,3,0,"1",2006,45,0,0,"2",14.953968,"10",7.1497107,0.59277195,"0",0
38.200001,105,2.2,5,10,"1",2011,94,5,0,"3",13.936762,"10",6.6841435,0.90265632,"0",0.0531914893617021
38.299999,103,2.1600001,9,10,"1",2015,89,6,0,"2",13.615495,"10",6.573245,0.94566369,"0",0.0674157303370786
39,52,2.1400001,10,3,"1",2005,42,1,2,"1",14.689552,"10",6.9283795,0.78624493,"0",0.0238095238095238
40,46,1.78,3,9,"0",2005,44,2,0,"3",14.689552,"10",6.9283795,0.62403423,"0",0.0454545454545455
40.099998,0,NA,NA,NA,"0",NA,1,0,0,"3",NA,"10",NA,NA,"2",0
40.200001,10,1,6,0,"0",2009,4,0,0,"3",14.571048,"10",6.557054,0.16460817,"0",0
40.299999,13,1,9,0,"0",2015,4,0,0,"3",13.615495,"10",6.573245,0.2606965,"1",0
40.400002,14,1,10,0,"0",2017,4,0,0,"3",14.007591,"10",6.6538019,0.29077822,"1",0
41,147,2.1400001,3,28,"1",2005,129,3,0,"1",14.689552,"10",6.9283795,1.0897354,"0",0.0232558139534884
42,6,NA,NA,NA,"0",2005,24,2,0,"3",14.689552,"10",6.9283795,NA,"2",0.0833333333333333
43,88,2.0599999,6,2,"1",2004,76,1,0,"1",13.484301,"10",6.7692113,0.7718628,"2",0.0131578947368421
43.099998,17,2.0799999,3,2,"1",2004,11,3,0,"2",13.484301,"10",6.7692113,0.54723108,"0",0.272727272727273
43.099998,19,2.0699999,6,2,"1",2004,13,3,0,"2",13.484301,"10",6.7692113,0.60825789,"0",0.230769230769231
43.110001,17,2.0799999,5,2,"1",2004,1,0,0,"2",13.484301,"10",6.7692113,0.58673549,"0",0
43.119999,0,NA,NA,NA,"0",NA,13,3,1,"2",NA,"10",NA,NA,"2",0.230769230769231
43.130001,11,1.6,5,0,"1",2006,5,0,0,"2",14.953968,"10",7.1497107,0.3841919,"1",0
43.139999,59,2.1099999,20,0,"1",2006,49,0,0,"2",14.953968,"10",7.1497107,0.91358882,"1",0
43.150002,8,1.75,3,0,"1",2007,4,0,0,"2",15.11982,"10",6.8723478,0.381327,"0",0
43.16,19,2.0799999,4,2,"1",2007,11,2,1,"2",15.11982,"10",6.8723478,0.57261926,"1",0.181818181818182
43.200001,19,2.0699999,6,2,"1",2004,13,3,1,"2",13.484301,"10",6.7692113,0.60825789,"0",0.230769230769231
43.299999,19,2.0699999,6,2,"0",2004,13,3,1,"2",13.484301,"10",6.7692113,0.60825789,"0",0.230769230769231
43.400002,19,2.0699999,6,2,"1",2004,13,3,1,"3",13.484301,"10",6.7692113,0.60825789,"0",0.230769230769231
43.5,19,2.0699999,6,2,"1",2004,11,2,1,"2",13.484301,"10",6.7692113,0.60825789,"0",0.181818181818182
43.599998,19,2.0699999,6,2,"1",2004,11,2,1,"2",13.484301,"10",6.7692113,0.60825789,"0",0.181818181818182
43.700001,19,2.0699999,6,2,"1",2004,13,3,1,"1",13.484301,"10",6.7692113,0.60825789,"0",0.230769230769231
43.799999,19,2.0699999,6,2,"1",2004,13,3,1,"2",13.484301,"10",6.7692113,0.60825789,"0",0.230769230769231
43.900002,17,2.0799999,3,2,"1",2004,13,3,1,"2",13.484301,"10",6.7692113,0.54723108,"0",0.230769230769231
44,40,2.22,11,2,"1",2003,30,3,1,"1",13.520093,"10",6.7692113,0.78492236,"0",0.1
45,46,2.1099999,2,5,"1",2003,36,2,0,"2",13.520093,"10",6.7692113,0.65072083,"0",0.0555555555555556
45.099998,20,2,5,1,"1",2003,16,1,0,"3",13.520093,"10",6.7692113,0.55808938,"0",0.0625
45.200001,10,1.5,6,0,"1",2004,4,0,0,"2",13.484301,"10",6.7692113,0.36824057,"0",0
45.299999,15,2.1400001,9,0,"1",2010,6,0,0,"2",14.006478,"10",6.6841435,0.64946872,"0",0
46,64,1.96,7,0,"1",2002,52,1,0,"1",14.725194,"10",6.7692113,0.68547392,"2",0.0192307692307692
47,36,1.85,6,1,"0",2002,26,4,0,"3",14.725194,"10",6.7692113,0.57618493,"1",0.153846153846154
47.099998,5,1,3,0,"0",2013,1,0,0,"2",13.504162,"10",6.7338285,0.049179025,"0",0
48,11,NA,NA,NA,"0",2001,23,1,0,"3",14.902901,"10",6.7692113,NA,"2",0.0434782608695652
49,64,2.0899999,14,4,"1",2000,53,1,0,"1",14.213816,"10",6.770647,0.87051302,"2",0.0188679245283019
50,19,1.6900001,4,4,"0",2000,13,1,0,"1",14.213816,"10",6.770647,0.47650525,"0",0.0769230769230769
51,36,2,6,3,"1",1999,31,0,0,"2",13.873234,"10",6.8451281,0.64412951,"0",0
51.099998,7,1.67,3,0,"1",2004,3,0,0,"2",13.484301,"10",6.7692113,0.34841132,"0",0
52,111,2.3900001,7,7,"1",1998,88,7,3,"1",14.083516,"9",7.2340031,0.95474648,"1",0.0795454545454545
52.099998,114,2.28,12,13,"0",2002,98,8,0,"3",14.725194,"10",6.7692113,1.0520887,"1",0.0816326530612245
52.099998,59,2.3099999,9,5,"1",2012,49,3,1,"3",13.886189,"10",6.7089863,0.84575027,"0",0.0612244897959184
52.110001,94,2.4400001,10,27,"1",2014,78,6,0,"3",13.110886,"10",6.7338285,1.1312326,"1",0.0769230769230769
52.119999,115,2.55,18,5,"1",2017,90,4,0,"3",14.007591,"10",6.6538019,1.1119586,"0",0.0444444444444444
52.130001,73,2.1300001,8,3,"1",2017,60,6,0,"3",14.007591,"10",6.6538019,0.79803616,"0",0.1
52.139999,94,2.1900001,12,22,"1",2018,79,5,1,"3",13.846571,"10",6.9520178,1.0725968,"0",0.0632911392405063
52.150002,85,2.26,11,11,"1",2021,71,7,1,"3",13.821552,"10",7.1956778,0.96829408,"0",0.0985915492957746
52.200001,91,2.8099999,7,18,"1",2005,76,3,1,"3",14.689552,"10",6.9283795,1.0899559,"1",0.0394736842105263
52.299999,59,2.8299999,8,1,"1",2006,48,1,0,"3",14.953968,"10",7.1497107,0.90881604,"1",0.0208333333333333
52.400002,57,2.3099999,7,3,"1",2007,45,5,0,"3",15.11982,"10",6.8723478,0.79083782,"0",0.111111111111111
52.5,103,2.8800001,11,19,"1",2007,86,5,1,"3",15.11982,"10",6.8723478,1.172805,"0",0.0581395348837209
52.599998,60,2.3299999,8,4,"1",2009,51,4,0,"3",14.571048,"10",6.557054,0.8275708,"1",0.0784313725490196
52.700001,61,2.3499999,8,4,"1",2009,36,5,1,"3",14.571048,"10",6.557054,0.83430594,"1",0.138888888888889
52.799999,47,2.26,9,0,"1",2009,51,4,0,"3",14.571048,"10",6.557054,0.75722259,"1",0.0784313725490196
52.900002,108,2.22,12,21,"1",2009,91,6,1,"3",14.571048,"10",6.557054,1.0931537,"1",0.0659340659340659
53,89,1.9,20,1,"1",1998,80,1,0,"1",14.083516,"9",7.2340031,0.93543929,"2",0.0125
53.099998,23,1.84,9,2,"1",1999,19,0,0,"2",13.873234,"10",6.8451281,0.60892916,"0",0
53.200001,43,2.51,7,0,"1",1999,35,0,0,"2",13.873234,"10",6.8451281,0.77775782,"0",0
53.299999,31,2.28,8,0,"1",2000,16,1,0,"2",14.213816,"10",6.770647,0.70863247,"0",0.0625
53.400002,62,2.0899999,9,5,"1",2001,47,1,0,"2",14.902901,"10",6.7692113,0.80065596,"0",0.0212765957446809
53.5,31,1.96,12,2,"1",2002,27,0,0,"2",14.725194,"10",6.7692113,0.71555251,"0",0
53.599998,22,1.9400001,9,0,"1",2007,17,1,0,"2",15.11982,"10",6.8723478,0.61068362,"0",0.0588235294117647
53.700001,46,2.21,6,0,"1",2011,39,0,0,"2",13.936762,"10",6.6841435,0.69136417,"1",0
53.799999,55,2.04,4,5,"1",2015,47,2,1,"2",13.615495,"10",6.573245,0.6894325,"0",0.0425531914893617
53.900002,19,2,1,4,"1",2018,14,2,0,"2",13.846571,"10",6.9520178,0.51344866,"0",0.142857142857143
54,26,2,0,4,"1",1998,20,0,0,"2",14.083516,"9",7.2340031,0.51275772,"1",0
55,31,1.74,0,3,"1",1998,18,2,0,"1",14.083516,"9",7.2340031,0.42714757,"0",0.111111111111111
56,49,2.24,4,5,"0",1998,39,2,1,"1",14.083516,"9",7.2340031,0.72765863,"0",0.0512820512820513
56.099998,11,1.33,9,0,"0",2013,6,0,0,"2",13.504162,"10",6.7338285,0.38113442,"0",0
57,24,1.89,1,2,"0",1997,19,2,0,"3",13.934731,"9",7.5984035,0.46455371,"0",0.105263157894737
58,4,NA,NA,NA,"0",1997,26,1,1,"3",13.934731,"9",7.5984035,NA,"2",0.0384615384615385
58.099998,4,NA,NA,NA,"0",2000,2,0,0,"2",14.213816,"10",6.770647,NA,"2",0
59,61,2.1400001,6,1,"1",1996,48,3,0,"1",13.336548,"7",7.7403302,0.71974909,"0",0.0625
59.099998,48,2.2,4,9,"1",1983,38,1,0,"1",15.293686,"5",5.247458,0.75825304,"0",0.0263157894736842
59.200001,9,1.83,10,0,"1",1983,5,1,0,"1",15.293686,"5",5.247458,0.56270087,"0",0.2
59.299999,8,1.75,6,0,"1",1987,3,0,0,"1",14.759668,"6",5.2359858,0.45024657,"0",0
59.400002,66,2.3099999,9,10,"1",1987,53,5,0,"1",14.759668,"6",5.2359858,0.9068175,"0",0.0943396226415094
59.5,5,1,3,0,"1",1991,2,0,0,"2",14.716192,"6",6.7946057,0.049179025,"0",0
59.599998,10,1,5,0,"1",1992,4,0,0,"2",14.806068,"6",6.6645646,0.13462427,"0",0
59.700001,6,1,4,0,"1",1995,2,0,0,"2",12.78558,"7",7.8336878,0.086216785,"0",0
59.799999,19,1.91,17,0,"1",2004,8,1,0,"2",13.484301,"10",6.7692113,0.73710573,"1",0.125
60,41,2.73,4,0,"1",1995,32,1,0,"1",12.78558,"7",7.8336878,0.77916324,"2",0.03125
60.099998,11,1.75,11,0,"0",1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0",0
61,243,2.46,25,71,"1",2020,201,20,2,"1",13.83362,"10",7.1956778,1.675951,"1",0.0995024875621891
61.099998,45,2.05,9,4,"1",1995,35,3,0,"1",12.78558,"7",7.8336878,0.74256754,"2",0.0857142857142857
61.099998,14,1,9,1,"1",2006,7,0,0,"2",14.953968,"10",7.1497107,0.28160146,"0",0
61.110001,7,1,10,1,"1",2007,6,0,0,"2",15.11982,"10",6.8723478,0.28247195,"0",0
61.119999,14,1,14,1,"1",2007,8,0,0,"2",15.11982,"10",6.8723478,0.40504602,"1",0
61.130001,15,1,5,2,"1",2008,9,0,0,"2",15.091938,"10",6.4813938,0.19340189,"0",0
61.139999,16,1.5,14,6,"1",2009,9,0,0,"2",14.571048,"10",6.557054,0.63566834,"1",0
61.150002,13,1,14,1,"1",2009,6,0,0,"2",14.571048,"10",6.557054,0.40183282,"0",0
61.16,16,1.5,13,3,"1",2010,9,0,0,"2",14.006478,"10",6.6841435,0.57977653,"1",0
61.169998,16,1,9,2,"1",2011,9,0,0,"2",13.936762,"10",6.6841435,0.30562794,"0",0
61.18,13,1,14,1,"1",2011,6,0,0,"2",13.936762,"10",6.6841435,0.40183282,"2",0
61.189999,13,1,16,1,"1",2013,5,0,0,"2",13.504162,"10",6.7338285,0.44738081,"1",0
61.200001,12,1,3,0,"1",1997,6,0,0,"2",13.934731,"9",7.5984035,0.080730274,"1",0
61.200001,21,1.42,12,6,"1",2015,11,1,0,"2",13.615495,"10",6.573245,0.58783329,"0",0.0909090909090909
61.209999,8,1,17,1,"1",2015,5,0,0,"2",13.615495,"10",6.573245,0.45424515,"0",0
61.220001,15,1.5599999,14,3,"1",2015,8,0,0,"2",13.615495,"10",6.573245,0.61388993,"0",0
61.23,21,1.42,11,5,"1",2016,11,1,0,"2",14.171517,"10",6.4104948,0.55540866,"0",0.0909090909090909
61.240002,13,1,9,1,"1",2017,6,0,0,"2",14.007591,"10",6.6538019,0.27796534,"0",0
61.25,21,1.36,16,1,"1",2018,13,0,0,"2",13.846571,"10",6.9520178,0.58466852,"0",0
61.259998,21,1.42,10,5,"1",2019,11,1,0,"2",13.7824,"10",7.1002188,0.53522283,"0",0.0909090909090909
61.27,13,1,9,5,"1",2019,6,0,0,"2",13.7824,"10",7.1002188,0.3442046,"0",0
61.299999,7,1,7,1,"1",1998,6,0,0,"2",14.083516,"9",7.2340031,0.20043318,"2",0
61.400002,12,1,7,1,"1",2001,6,0,0,"2",14.902901,"10",6.7692113,0.21992399,"0",0
61.5,12,1,5,1,"1",2002,6,0,0,"2",14.725194,"10",6.7692113,0.16240245,"0",0
61.599998,13,2,6,2,"1",2003,7,4,0,"2",13.520093,"10",6.7692113,0.57159615,"0",0.571428571428571
61.700001,12,1,8,1,"1",2004,6,0,0,"2",13.484301,"10",6.7692113,0.24748972,"0",0
61.799999,12,1,7,1,"1",2004,6,0,0,"2",13.484301,"10",6.7692113,0.21992399,"0",0
61.900002,12,1,5,1,"1",2005,6,0,0,"2",14.689552,"10",6.9283795,0.16240245,"0",0
62,52,2.1099999,9,11,"1",1992,41,5,0,"1",14.806068,"6",6.6645646,0.84380257,"0",0.121951219512195
62.099998,18,2.4300001,13,2,"1",1995,11,2,0,"2",12.78558,"7",7.8336878,0.81885147,"1",0.181818181818182
62.200001,29,1.79,4,3,"1",2000,24,1,0,"2",14.213816,"10",6.770647,0.52424407,"1",0.0416666666666667
62.299999,11,2,5,2,"1",2003,5,0,0,"2",13.520093,"10",6.7692113,0.54618168,"0",0
63,45,2.03,7,0,"1",1992,31,3,0,"1",14.806068,"6",6.6645646,0.65782988,"0",0.0967741935483871
63.099998,8,1.5,5,0,"1",1995,4,0,0,"2",12.78558,"7",7.8336878,0.33700457,"1",0
64,39,2,4,2,"1",1988,31,2,1,"3",15.281887,"6",5.9813442,0.60240346,"0",0.0645161290322581
64.099998,5,1,4,0,"1",1995,2,0,0,"2",12.78558,"7",7.8336878,0.081794374,"0",0
65,40,2.22,0,1,"1",1988,35,1,0,"1",15.281887,"6",5.9813442,0.58029407,"0",0.0285714285714286
66,31,1.84,13,3,"1",1987,25,5,0,"3",14.759668,"6",5.2359858,0.71238363,"0",0.2
67,9,1,1,0,"0",1986,5,0,0,"1",14.598877,"6",5.2025633,2.03e-08,"0",0
67.099998,11,1.75,11,0,"0",1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0",0
68,46,2.4100001,2,0,"0",1986,29,0,0,"1",14.598877,"6",5.2025633,0.67480183,"0",0
68.099998,23,1.9,12,0,"0",1995,10,0,0,"2",12.78558,"7",7.8336878,0.65735,"1",0
68.199997,12,1.75,6,0,"0",1997,8,0,0,"2",13.934731,"9",7.5984035,0.46243691,"0",0
69,16,1,13,0,"1",1985,12,3,0,"1",15.191296,"6",5.0609565,0.37263924,"0",0.25
69.099998,11,1.75,11,0,"0",1997,5,0,0,"2",13.934731,"9",7.5984035,0.56375009,"0",0
70,212,2.6600001,1,5,"0",1985,147,5,0,"1",15.191296,"6",5.0609565,1.0897207,"0",0.0340136054421769
71,35,2.0699999,3,4,"1",1981,27,2,0,"1",15.392958,"5",5.6302752,0.61784631,"0",0.0740740740740741
72,69,2.0899999,8,5,"1",1980,57,5,1,"1",15.438917,"5",5.6302752,0.80013758,"0",0.087719298245614
72.099998,25,1.95,2,2,"1",1980,17,1,0,"1",15.438917,"5",5.6302752,0.50855654,"0",0.0588235294117647
72.199997,24,2.05,3,2,"1",1991,15,1,0,"1",14.716192,"6",6.7946057,0.55741626,"0",0.0666666666666667
73,42,2,1,6,"1",1979,36,0,0,"1",14.668732,"5",5.3300929,0.60261381,"0",0
73.099998,7,1.67,4,0,"1",1982,2,0,0,"2",15.35704,"5",5.4984193,0.37269336,"0",0
73.199997,16,1.8200001,7,0,"0",1997,11,0,0,"2",13.934731,"9",7.5984035,0.51836479,"0",0
74,39,1.71,5,13,"1",1977,34,7,0,"1",13.932629,"5",5.4924865,0.67068255,"0",0.205882352941176
74.099998,21,2.0599999,1,7,"1",1987,18,1,0,"2",14.759668,"6",5.2359858,0.57685786,"0",0.0555555555555556
74.199997,7,1,4,0,"1",1995,3,0,0,"2",12.78558,"7",7.8336878,0.090619788,"1",0
75,22,1.71,4,3,"0",1975,16,2,0,"1",12.703358,"5",5.4432654,0.47804007,"0",0.125
76,20,1.71,1,2,"0",1972,16,2,0,"1",9.9193764,"5",4.6074581,0.38947847,"0",0.125
77,59,2.3299999,3,2,"0",2020,41,2,0,"1",13.83362,"10",7.1956778,0.72445691,"0",0.048780487804878
78,94,2.1500001,10,3,"0",2011,82,1,3,"1",13.936762,"10",6.6841435,0.87650299,"0",0.0121951219512195
79,55,2.04,1,0,"0",2005,43,2,0,"1",14.689552,"10",6.9283795,0.57384449,"1",0.0465116279069767
80,164,2.21,18,4,"1",2005,138,9,0,"1",14.689552,"10",6.9283795,1.122438,"1",0.0652173913043478
81,135,2.1099999,5,4,"0",2002,117,7,0,"1",14.725194,"10",6.7692113,0.88660592,"2",0.0598290598290598
82,32,1.71,0,0,"0",1995,24,1,0,"3",12.78558,"7",7.8336878,0.3742449,"1",0.0416666666666667
82.099998,34,1.79,1,0,"0",1995,13,3,0,"1",12.78558,"7",7.8336878,0.43239182,"1",0.230769230769231
83,12,1.5,2,3,"0",1978,8,1,0,"1",13.767102,"5",5.0791316,0.32449579,"0",0.125
